Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
MATCH,29399,NSCVR0001587,H6 Cover of NBO 50.sp1 H6H7 - d x 135 x 84,NRRBR0000110,NRRBR0000110,NORMAL,NORMAL,0,0,24,24,24,mm,mm,Round Bar EN9 150 MM,Round Bar EN9 150 MM,,PART,,I,B0013416,B0013416,22 mm,38011,1
MATCH,29400,NSCVR0001588,H7 Cover of NBO 50.sp1 H6H7 - d x 135 x 84,NRRBR0000110,NRRBR0000110,NORMAL,NORMAL,0,0,24,24,24,mm,mm,Round Bar EN9 150 MM,Round Bar EN9 150 MM,,PART,,I,B0013417,B0013417,22 mm,38012,1
MATCH,29451,NSCVR0001589,Cover of NO 30.sp2 - d x 95 x 40 x 38,NRRBR0000117,NRRBR0000117,NORMAL,NORMAL,0,0,25,25,25,mm,mm,Round Bar EN9 105 MM,Round Bar EN9 105 MM,,PART,,I,B0013448,B0013448,23 mm,38013,1
MATCH,29494,NSCVR0001590,C1 Cover of NSC 44B - 25 x 98 x 56,NRRBR0000108,NRRBR0000108,NORMAL,NORMAL,0,0,19,19,19,mm,mm,Round Bar EN9 110 MM,Round Bar EN9 110 MM,,PART,,I,B0013500,B0013500,17 mm,38016,1
MATCH,29598,NSCVR0001591,End Cover of NHB 25 -  d x 95 x 35,NRRBR0000117,NRRBR0000117,NORMAL,NORMAL,0,0,29,29,29,mm,mm,Round Bar EN9 105 MM,Round Bar EN9 105 MM,,PART,,I,B0013493,B0013493,27 mm,38014,1
MATCH,29569,NSCVR0001592,End Cover of N311.sp1 - d x 185 x 105,NRRBR0000128,NRRBR0000128,NORMAL,NORMAL,0,0,113,113,113,mm,mm,Round Bar EN9 200 MM,Round Bar EN9 200 MM,,PART,,I,B0013496,B0013496,111 mm,38015,1
MATCH,29649,NSCVR0001593,E1 Cover of NHBUFC 100 - d x 378 x 401,NSMCL0000131,NSMCL0000131,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Circle 283 X 30,MS Circle 283 X 30,,PART,,I,B0013564,B0013564,,38019,1
MATCH,29652,NSCVR0001594,Cover of NHBUFC 100 - d x 378 x 401,NSMCL0000131,NSMCL0000131,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Circle 283 X 30,MS Circle 283 X 30,,PART,,I,B0013566,B0013566,,38020,1
MATCH,15027,NSCVR0001595,C1 Cover of NR 40 - d x 125 x 86,NRRBR0000107,NRRBR0000107,NORMAL,NORMAL,0,0,23,23,23,mm,mm,Round Bar EN9 130 MM,Round Bar EN9 130 MM,,PART,,I,B0013528,B0013528,21 mm,38017,1
MATCH,29714,NSCVR0001596,End Cover of NHBUFC 60 - d x 196 x 233,NRRBR0000121,NRRBR0000121,NORMAL,NORMAL,0,0,25,25,25,mm,mm,Round Bar EN9 180 MM,Round Bar EN9 180 MM,,PART,CUTTING SIZE - 22mm,I,B0013549,B0013549,23 mm,38018,1
MATCH,29717,NSCVR0001597,Cover of NHBUFC 60 - d x 196 x 233,NSMCL0000131,NSMCL0000131,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Circle 283 X 30,MS Circle 283 X 30,,PART,,I,B0013569,B0013569,,38021,1
MATCH,18087,NSCVR0001600,H1 Cover of NBO 57 - d x 112 x 65,NRRBR0000118,NRRBR0000118,NORMAL,NORMAL,0,0,22,22,22,mm,mm,Round Bar EN9 120 MM,Round Bar EN9 120 MM,,PART,,I,B0013633,B0013633,20 mm,38023,1
MATCH,18088,NSCVR0001601,H2 Lever of NBO 57 - d x 112 x 65,NSMPL0000383,NSMPL0000383,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS PLATE 262 x 183 x 25,MS PLATE 262 x 183 x 25,,PART,,I,B0013667,B0013667,,38027,1
MATCH,18159,NSCVR0001602,H2 Lever of NBO 50.sp1 - dd x 150 x 78,NSMPL0000317,NSMPL0000317,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 338 X 235 X 30,MS Plate 338 X 235 X 30,,PART,,I,B0013666,B0013666,,38026,1
MATCH,29897,NSCVR0001603,C5 Cover of NR 40 C5C5.sp1 - d x 126 x 93,NRRBR0000132,NRRBR0000132,NORMAL,NORMAL,0,0,26,26,26,mm,mm,Round Bar EN9 140 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0013621,B0013621,24 mm,38022,1
MATCH,29935,NSCVR0001604,End Cover of NFRC 100.sp1 - d x 270 x 422.5,NRRBR0000306,NRRBR0000306,NORMAL,NORMAL,0,0,106,106,106,mm,mm,Round Bar EN9 170 mm,Round Bar EN9 170 mm,,PART,,I,B0013639,B0013639,104 mm,38024,1
MATCH,29938,NSCVR0001605,Cover of NFRC 100.sp1 - d x 270 x 422.5,NRRBR0000132,NRRBR0000132,NORMAL,NORMAL,0,0,97,97,97,mm,mm,Round Bar EN9 140 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0013640,B0013640,95 mm,38025,1
MATCH,30028,NSCVR0001606,End Cover of NRFC 50.sp1 - d x 175 x 195,NRRBR0000131,NRRBR0000131,NORMAL,NORMAL,0,0,55,55,55,mm,mm,Round Bar EN9 190 MM,Round Bar EN9 190 MM,,PART,CUTTING SIZE - 24mm,I,B0013683,B0013683,53 mm,14238,1
MATCH,30056,NSCVR0001607,Cover of NRFC 40.sp1 - d x 134 x 163.5,NRRBR0000132,NRRBR0000132,NORMAL,NORMAL,0,0,41,41,41,mm,mm,Round Bar EN9 140 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0013685,B0013685,39 mm,38028,1
