Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
NORMAL_ALTERNATE_FLAG_MISMATCH,8413,NAINR0000148,Inner Ring of N7030 - 100 x 145 x 68,NRRBR0000109,NRRBR0000109 / NRRBR0000110,ALTERNATE,NORMAL,1,0,90/70,90,90,mm,mm,Round Bar EN9 125 MM / Round Bar EN9 150 MM,Round Bar EN9 125 MM,,PART,,I,B0004661,,88 mm,24599,1
NORMAL_ALTERNATE_FLAG_MISMATCH,8413,NAINR0000148,Inner Ring of N7030 - 100 x 145 x 68,NRRBR0000110,NRRBR0000109 / NRRBR0000110,NORMAL,ALTERNATE,0,1,90/70,70,70,mm,mm,Round Bar EN9 125 MM / Round Bar EN9 150 MM,Round Bar EN9 150 MM,,PART,,I,B0004661,B0004661,68 mm,34589,1
UOM_MISMATCH,25358,NAINR0000157,Inner Ring of N7031 - 20 x 47 x 41,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,46,46,46,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0012137,B0012137,,27468,1
RAW_MATERIAL_ITEM_MISSING,7204,NAINR0000158,Inner Ring of N7031 - 22 x 47 x 41,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,46,46,46,mm,mm,Round Bar EN9 60 MM,,,,,I,B0004084,B0004084,44 mm,24321,1
UOM_MISMATCH,9744,NAINR0000159,Inner Ring of N7031 - 24 x 50 x 41,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,46,46,46,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0005240,B0005240,,24898,1
NORMAL_ALTERNATE_FLAG_MISMATCH,37,NAINR0000168,Inner Ring of N7031 - 45 x 75 x 49,NRRBR0000005,NRRBR0000005,NORMAL,ALTERNATE,0,1,55,55,55,mm,mm,Round Bar EN19 90 MM,Round Bar EN19 90 MM,,PART,,I,B0000044,B0000044,53 mm,21723,1
UOM_MISMATCH,13387,NAINR0000189,Inner Ring of N7032 - 20 x 47 x 28,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,33,33,33,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,,,,25626,1
UOM_MISMATCH,4424,NAINR0000190,Inner Ring of N7032 - 22 x 47 x 28,NRRBR0000116,NRRBR0000116 / NRRBR0000235,NORMAL,NORMAL,0,0,33/34,33,33,mm,Kg.,Round Bar EN9 56 MM / Round Bar EN9 55 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0002712,,,23728,1
NORMAL_ALTERNATE_FLAG_MISMATCH,4418,NAINR0000190,Inner Ring of N7032 - 22 x 47 x 28,NRRBR0000235,NRRBR0000235,NORMAL,ALTERNATE,0,1,34,34,34,mm,mm,Round Bar EN9 55 MM,Round Bar EN9 55 MM,,PART,,I,B0002712,B0002712,32 mm,33858,1
RAW_MATERIAL_ITEM_MISSING,2478,NAINR0000191,Inner Ring of N7032 - 24 x 50 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,33/34,33,33,mm,mm,Round Bar EN9 60 MM,,,,,I,,,31 mm,23082,1
RAW_MATERIAL_ITEM_MISSING,4035,NAINR0000193,Inner Ring of N7032 - 28 x 55 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,34,34,34,mm,mm,Round Bar EN9 60 MM,,,,,I,B0002560,B0002560,32 mm,23655,1
RAW_MATERIAL_ITEM_MISSING,7,NAINR0000194,Inner Ring of N7032 - 30 x 55 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,34,34,34,mm,mm,Round Bar EN9 60 MM,,,,,I,B0000020,B0000020,32 mm,21679,1
UOM_MISMATCH,2184,NAINR0000195,Inner Ring of N7032 - 32 x 60 x 28,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,34,34,34,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0001355,B0001355,,23004,1
