Decision,DB Link ID,Parent Code,RM Code,Current DB UOM,Excel UOM,DB Qty,DB Alternate,Remark
SAFE_TO_FIX,21860,NCONS0000782,NRRBR0000102,Kg.,mm,68.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,21981,NAOTR0000635,NRRBR0000102,Kg.,mm,41.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22000,NCONS0000797,NRRBR0000116,Kg.,mm,68.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22020,NAINR0000052,NRRBR0000102,Kg.,mm,38.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22028,NAOTR0000634,NRRBR0000102,Kg.,mm,42.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22052,NCONS0000809,NRRBR0000102,Kg.,mm,77.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22065,NAOTR0000631,NRRBR0000116,Kg.,mm,42.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22070,NAINR0000225,NRRBR0000102,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22086,NAINR0000577,NRRBR0000116,Kg.,mm,68.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22105,NCONS0000781,NRRBR0000112,Kg.,mm,71.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22147,NCONS0001044,NRRBR0000124,Kg.,mm,77.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22178,NCONS0000938,NRRBR0000112,Kg.,mm,74.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22203,NAINR0000543,NRRBR0000102,Kg.,mm,48.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22235,NAINR0000544,NRRBR0000102,Kg.,mm,48.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22246,NAINR0000049,NRRBR0000102,Kg.,mm,37.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22251,NAINR0000129,NRRBR0000102,Kg.,mm,45.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22262,NAOTR0000193,NRRBR0000102,Kg.,mm,25.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22312,NAFRN0000187,NRRBR0000124,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22313,NAOTR0000447,NRRBR0000124,Kg.,mm,50.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22314,NARRN0000187,NRRBR0000124,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22319,NAFRN0000470,NRRBR0000124,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22321,NARRN0000472,NRRBR0000124,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
